PassengerId,Age,SibSp,Parch,TicketCrew,FarePerPerson,FamilyCrew,Cabin_num,Sex_bin,Embarked_cat,Title_cat,Deck_cat,Pclass_cat,Survived
1,22.0,1,0,1,7.25,2,0,1,2,12,7,2,0
2,38.0,1,0,2,35.642,2,85,0,0,13,2,0,1
3,26.0,0,0,1,7.925,1,0,0,2,9,7,2,1
4,35.0,1,0,2,26.55,2,123,0,2,13,2,0,1
5,35.0,0,0,1,8.05,1,0,1,2,12,7,2,0
6,33.2,0,0,1,8.458,1,0,1,1,12,7,2,0
7,54.0,0,0,2,25.931,1,46,1,2,12,4,0,0
8,2.0,3,1,5,4.215,5,0,1,2,8,7,2,0
9,27.0,0,2,3,3.711,3,0,0,2,13,7,2,1
10,14.0,1,0,2,15.035,2,0,0,0,13,7,1,1
11,4.0,1,1,3,5.567,3,6,0,2,9,6,2,1
12,58.0,0,0,1,26.55,1,103,0,2,9,2,0,1
13,20.0,0,0,1,8.05,1,0,1,2,12,7,2,0
14,39.0,1,5,7,4.468,7,0,1,2,12,7,2,0
15,14.0,0,0,1,7.854,1,0,0,2,9,7,2,0
16,55.0,0,0,1,16.0,1,0,0,2,13,7,1,1
17,2.0,4,1,6,4.854,6,0,1,1,8,7,2,0
18,33.2,0,0,1,13.0,1,0,1,2,12,7,1,1
19,31.0,1,0,2,9.0,2,0,0,2,13,7,2,0
20,35.2,0,0,1,7.225,1,0,0,0,13,7,2,1
21,35.0,0,0,2,13.0,1,0,1,2,12,7,1,0
22,34.0,0,0,1,13.0,1,56,1,2,12,3,1,1
23,15.0,0,0,1,8.029,1,0,0,1,9,7,2,1
24,28.0,0,0,1,35.5,1,6,1,2,12,0,0,1
25,8.0,3,1,5,4.215,5,0,0,2,9,7,2,0
26,38.0,1,5,7,4.484,7,0,0,2,13,7,2,1
27,33.2,0,0,1,7.225,1,0,1,0,12,7,2,0
28,19.0,3,2,6,43.833,6,23,1,2,12,2,0,0
29,27.0,0,0,1,7.879,1,0,0,1,9,7,2,1
30,33.2,0,0,1,7.896,1,0,1,2,12,7,2,0
31,40.0,0,0,1,27.721,1,0,1,0,2,7,0,0
32,32.6,1,0,3,48.84,2,78,0,0,13,1,0,1
33,27.0,0,0,1,7.75,1,0,0,1,9,7,2,1
34,66.0,0,0,1,10.5,1,0,1,2,12,7,1,0
35,28.0,1,0,2,41.085,2,0,1,0,12,7,0,0
36,42.0,1,0,2,26.0,2,0,1,2,12,7,0,0
37,33.2,0,0,1,7.229,1,0,1,0,12,7,2,1
38,21.0,0,0,1,8.05,1,0,1,2,12,7,2,0
39,18.0,2,0,2,9.0,3,0,0,2,9,7,2,0
40,14.0,1,0,2,5.621,2,0,0,0,9,7,2,1
41,40.0,1,0,1,9.475,2,0,0,2,13,7,2,0
42,27.0,1,0,2,10.5,2,0,0,2,13,7,1,0
43,33.2,0,0,1,7.896,1,0,1,0,12,7,2,0
44,3.0,1,2,4,10.395,4,0,0,0,9,7,1,1
45,19.0,0,0,1,7.879,1,0,0,1,9,7,2,1
46,33.2,0,0,1,8.05,1,0,1,2,12,7,2,0
47,30.6,1,0,2,7.75,2,0,1,1,12,7,2,0
48,27.0,0,0,1,7.75,1,0,0,1,9,7,2,1
49,28.0,2,0,3,7.226,3,0,1,0,12,7,2,0
50,18.0,1,0,2,8.9,2,0,0,2,13,7,2,0
51,7.0,4,1,7,5.67,6,0,1,2,8,7,2,0
52,21.0,0,0,1,7.8,1,0,1,2,12,7,2,0
53,49.0,1,0,3,25.576,2,33,0,0,13,3,0,1
54,29.0,1,0,2,13.0,2,0,0,2,13,7,1,1
55,65.0,0,1,2,30.99,2,30,1,0,12,1,0,0
56,33.2,0,0,1,35.5,1,52,1,2,12,2,0,1
57,21.0,0,0,1,10.5,1,0,0,2,9,7,1,1
58,28.5,0,0,1,7.229,1,0,1,0,12,7,2,0
59,5.0,1,2,4,6.938,4,0,0,2,9,7,1,1
60,11.0,5,2,8,5.862,8,0,1,2,8,7,2,0
61,22.0,0,0,1,7.229,1,0,1,0,12,7,2,0
62,38.0,0,0,2,40.0,1,28,0,-1,9,1,0,1
63,45.0,1,0,2,41.738,2,83,1,2,12,2,0,0
64,4.0,3,2,6,4.65,6,0,1,2,8,7,2,0
65,33.2,0,0,1,27.721,1,0,1,0,12,7,0,0
66,21.3,1,1,3,5.082,3,0,1,0,8,7,2,1
67,29.0,0,0,1,10.5,1,33,0,2,13,5,1,1
68,19.0,0,0,1,8.158,1,0,1,2,12,7,2,0
69,17.0,4,2,1,7.925,7,0,0,2,9,7,2,1
70,26.0,2,0,1,8.662,3,0,1,2,12,7,2,0
71,32.0,0,0,1,10.5,1,0,1,2,12,7,1,0
72,16.0,5,2,8,5.862,8,0,0,2,9,7,2,0
73,21.0,0,0,7,10.5,1,0,1,2,12,7,1,0
74,26.0,1,0,2,7.227,2,0,1,0,12,7,2,0
75,32.0,0,0,8,7.062,1,0,1,2,12,7,2,1
76,25.0,0,0,1,7.65,1,73,1,2,12,6,2,0
77,33.2,0,0,1,7.896,1,0,1,2,12,7,2,0
78,33.2,0,0,1,8.05,1,0,1,2,12,7,2,0
79,0.8,0,2,3,9.667,3,0,1,2,8,7,1,1
80,30.0,0,0,2,6.238,1,0,0,2,9,7,2,1
81,22.0,0,0,1,9.0,1,0,1,2,12,7,2,0
82,29.0,0,0,1,9.5,1,0,1,2,12,7,2,1
83,27.0,0,0,1,7.788,1,0,0,1,9,7,2,1
84,28.0,0,0,2,23.55,1,0,1,2,12,7,0,0
85,17.0,0,0,1,10.5,1,0,0,2,9,7,1,1
86,33.0,3,0,2,7.925,4,0,0,2,13,7,2,1
87,16.0,1,3,5,6.875,5,0,1,2,12,7,2,0
88,33.2,0,0,1,8.05,1,0,1,2,12,7,2,0
89,23.0,3,2,6,43.833,6,23,0,2,9,2,0,1
90,24.0,0,0,1,8.05,1,0,1,2,12,7,2,0
91,29.0,0,0,1,8.05,1,0,1,2,12,7,2,0
92,20.0,0,0,1,7.854,1,0,1,2,12,7,2,0
93,46.0,1,0,2,30.588,2,31,1,2,12,4,0,0
94,26.0,1,2,4,5.144,4,0,1,2,12,7,2,0
95,59.0,0,0,1,7.25,1,0,1,2,12,7,2,0
96,33.2,0,0,1,8.05,1,0,1,2,12,7,2,0
97,71.0,0,0,1,34.654,1,5,1,0,12,0,0,0
98,23.0,0,1,2,31.679,2,10,1,0,12,3,0,1
99,34.0,0,1,2,11.5,2,0,0,2,13,7,1,1
100,34.0,1,0,2,13.0,2,0,1,2,12,7,1,0
101,28.0,0,0,1,7.896,1,0,0,2,9,7,2,0
102,33.2,0,0,1,7.896,1,0,1,2,12,7,2,0
103,21.0,0,1,2,38.644,2,26,1,2,12,3,0,0
104,33.0,0,0,1,8.654,1,0,1,2,12,7,2,0
105,37.0,2,0,1,7.925,3,0,1,2,12,7,2,0
106,28.0,0,0,1,7.896,1,0,1,2,12,7,2,0
107,21.0,0,0,1,7.65,1,0,0,2,9,7,2,1
108,33.2,0,0,1,7.775,1,0,1,2,12,7,2,1
109,38.0,0,0,1,7.896,1,0,1,2,12,7,2,0
110,24.4,1,0,3,8.05,2,0,0,1,9,7,2,1
111,47.0,0,0,2,26.0,1,110,1,2,12,2,0,0
112,14.5,1,0,2,7.227,2,0,0,0,9,7,2,0
113,22.0,0,0,1,8.05,1,0,1,2,12,7,2,0
114,20.0,1,0,1,9.825,2,0,0,2,9,7,2,0
115,17.0,0,0,2,7.229,1,0,0,0,9,7,2,0
116,21.0,0,0,1,7.925,1,0,1,2,12,7,2,0
117,70.5,0,0,1,7.75,1,0,1,1,12,7,2,0
118,29.0,1,0,2,10.5,2,0,1,2,12,7,1,0
119,24.0,0,1,3,82.507,2,58,1,0,12,1,0,0
120,2.0,4,2,7,4.468,7,0,0,2,9,7,2,0
121,21.0,2,0,7,10.5,3,0,1,2,12,7,1,0
122,33.2,0,0,1,8.05,1,0,1,2,12,7,2,0
123,32.5,1,0,2,15.035,2,0,1,0,12,7,1,0
124,32.5,0,0,1,13.0,1,101,0,2,9,4,1,1
125,54.0,0,1,2,38.644,2,26,1,2,12,3,0,0
126,12.0,1,0,2,5.621,2,0,1,0,8,7,2,1
127,33.2,0,0,1,7.75,1,0,1,1,12,7,2,0
128,24.0,0,0,1,7.142,1,0,1,2,12,7,2,1
129,23.4,1,1,3,7.453,3,69,0,0,9,4,2,1
130,45.0,0,0,1,6.975,1,0,1,2,12,7,2,0
131,33.0,0,0,1,7.896,1,0,1,0,12,7,2,0
132,20.0,0,0,1,7.05,1,0,1,2,12,7,2,0
133,47.0,1,0,2,7.25,2,0,0,2,13,7,2,0
134,29.0,1,0,2,13.0,2,0,0,2,13,7,1,1
135,25.0,0,0,1,13.0,1,0,1,2,12,7,1,0
136,23.0,0,0,1,15.046,1,0,1,0,12,7,1,0
137,19.0,0,2,1,26.283,3,47,0,2,9,3,0,1
138,37.0,1,0,2,26.55,2,123,1,2,12,2,0,0
139,16.0,0,0,2,4.608,1,0,1,2,12,7,2,0
140,24.0,0,0,2,39.6,1,86,1,0,12,1,0,0
141,33.3,0,2,3,5.082,3,0,0,0,13,7,2,0
142,22.0,0,0,1,7.75,1,0,0,2,9,7,2,1
143,24.0,1,0,2,7.925,2,0,0,2,13,7,2,1
144,19.0,0,0,1,6.75,1,0,1,1,12,7,2,0
145,18.0,0,0,1,11.5,1,0,1,2,12,7,1,0
146,19.0,1,1,4,9.188,3,0,1,2,12,7,1,0
147,27.0,0,0,1,7.796,1,0,1,2,12,7,2,1
148,9.0,2,2,5,6.875,5,0,0,2,9,7,2,0
149,36.5,0,2,3,8.667,3,2,1,2,12,5,1,0
150,42.0,0,0,1,13.0,1,0,1,2,15,7,1,0
151,51.0,0,0,1,12.525,1,0,1,2,15,7,1,0
152,22.0,1,0,2,33.3,2,2,0,2,13,2,0,1
153,55.5,0,0,1,8.05,1,0,1,2,12,7,2,0
154,40.5,0,2,3,4.833,3,0,1,2,12,7,2,0
155,33.2,0,0,1,7.312,1,0,1,2,12,7,2,0
156,51.0,0,1,2,30.69,2,0,1,0,12,7,0,0
157,16.0,0,0,1,7.733,1,0,0,1,9,7,2,1
158,30.0,0,0,1,8.05,1,0,1,2,12,7,2,0
159,33.2,0,0,1,8.662,1,0,1,2,12,7,2,0
160,2.3,8,2,11,6.323,11,0,1,2,8,7,2,0
161,44.0,0,1,2,8.05,2,0,1,2,12,7,2,0
162,40.0,0,0,2,7.875,1,0,0,2,13,7,1,1
163,26.0,0,0,1,7.775,1,0,1,2,12,7,2,0
164,17.0,0,0,1,8.662,1,0,1,2,12,7,2,0
165,1.0,4,1,7,5.67,6,0,1,2,8,7,2,0
166,9.0,0,2,3,6.842,3,0,1,2,8,7,2,1
167,34.2,0,1,2,27.5,2,33,0,2,13,4,0,1
168,45.0,1,4,6,4.65,6,0,0,2,13,7,2,0
169,33.2,0,0,1,25.925,1,0,1,2,12,7,0,0
170,28.0,0,0,8,7.062,1,0,1,2,12,7,2,0
171,61.0,0,0,1,33.5,1,19,1,2,12,1,0,0
172,4.0,4,1,6,4.854,6,0,1,1,8,7,2,0
173,1.0,1,1,3,3.711,3,0,0,2,9,7,2,1
174,21.0,0,0,1,7.925,1,0,1,2,12,7,2,0
175,56.0,0,0,1,30.696,1,7,1,0,12,0,0,0
176,18.0,1,1,1,7.854,3,0,1,2,12,7,2,0
177,16.2,3,1,5,5.093,5,0,1,2,8,7,2,0
178,50.0,0,0,1,28.712,1,49,0,0,9,2,0,0
179,30.0,0,0,1,13.0,1,0,1,2,12,7,1,0
180,36.0,0,0,4,0.0,1,0,1,2,12,7,2,0
181,4.4,8,2,11,6.323,11,0,0,2,9,7,2,0
182,33.2,0,0,1,15.05,1,0,1,0,12,7,1,0
183,9.0,4,2,7,4.484,7,0,1,2,8,7,2,0
184,1.0,2,1,4,9.75,4,4,1,2,8,5,1,1
185,4.0,0,2,3,7.342,3,0,0,2,9,7,2,1
186,33.2,0,0,1,50.0,1,32,1,2,12,0,0,0
187,32.6,1,0,2,7.75,2,0,0,1,13,7,2,1
188,45.0,0,0,1,26.55,1,0,1,2,12,7,0,1
189,40.0,1,1,2,7.75,3,0,1,1,12,7,2,0
190,36.0,0,0,1,7.896,1,0,1,2,12,7,2,0
191,32.0,0,0,1,13.0,1,0,0,2,13,7,1,1
192,19.0,0,0,1,13.0,1,0,1,2,12,7,1,0
193,19.0,1,0,1,7.854,2,0,0,2,9,7,2,1
194,3.0,1,1,3,8.667,3,2,1,2,8,5,1,1
195,44.0,0,0,1,27.721,1,4,0,0,13,1,0,1
196,58.0,0,0,3,48.84,1,80,0,0,9,1,0,1
197,33.2,0,0,1,7.75,1,0,1,1,12,7,2,0
198,42.0,0,1,1,8.404,2,0,1,2,12,7,2,0
199,27.0,0,0,1,7.75,1,0,0,1,9,7,2,1
200,24.0,0,0,1,13.0,1,0,0,2,9,7,1,0
201,28.0,0,0,1,9.5,1,0,1,2,12,7,2,0
202,10.6,8,2,11,6.323,11,0,1,2,12,7,2,0
203,34.0,0,0,1,6.496,1,0,1,2,12,7,2,0
204,45.5,0,0,1,7.225,1,0,1,0,12,7,2,0
205,18.0,0,0,1,8.05,1,0,1,2,12,7,2,1
206,2.0,0,1,2,5.231,2,6,0,2,9,6,2,0
207,32.0,1,0,2,7.925,2,0,1,2,12,7,2,0
208,26.0,0,0,2,9.394,1,0,1,0,12,7,2,1
209,16.0,0,0,1,7.75,1,0,0,1,9,7,2,1
210,40.0,0,0,1,31.0,1,31,1,0,12,0,0,1
211,24.0,0,0,1,7.05,1,0,1,2,12,7,2,0
212,35.0,0,0,2,10.5,1,0,0,2,9,7,1,1
213,22.0,0,0,1,7.25,1,0,1,2,12,7,2,0
214,30.0,0,0,1,13.0,1,0,1,2,12,7,1,0
215,30.6,1,0,1,7.75,2,0,1,1,12,7,2,0
216,31.0,1,0,3,37.758,2,36,0,0,9,3,0,1
217,27.0,0,0,1,7.925,1,0,0,2,9,7,2,1
218,42.0,1,0,2,13.5,2,0,1,2,12,7,1,0
219,32.0,0,0,2,38.146,1,15,0,0,9,3,0,1
220,30.0,0,0,1,10.5,1,0,1,2,12,7,1,0
221,16.0,0,0,1,8.05,1,0,1,2,12,7,2,1
222,27.0,0,0,1,13.0,1,0,1,2,12,7,1,0
223,51.0,0,0,1,8.05,1,0,1,2,12,7,2,0
224,33.2,0,0,1,7.896,1,0,1,2,12,7,2,0
225,38.0,1,0,2,45.0,2,93,1,2,12,2,0,1
226,22.0,0,0,1,9.35,1,0,1,2,12,7,2,0
227,19.0,0,0,1,10.5,1,0,1,2,12,7,1,1
228,20.5,0,0,1,7.25,1,0,1,2,12,7,2,0
229,18.0,0,0,1,13.0,1,0,1,2,12,7,1,0
230,18.3,3,1,5,5.093,5,0,0,2,9,7,2,0
231,35.0,1,0,2,41.738,2,83,0,2,13,2,0,1
232,29.0,0,0,1,7.775,1,0,1,2,12,7,2,0
233,59.0,0,0,1,13.5,1,0,1,2,12,7,1,0
234,5.0,4,2,7,4.484,7,0,0,2,9,7,2,1
235,24.0,0,0,1,10.5,1,0,1,2,12,7,1,0
236,27.0,0,0,1,7.55,1,0,0,2,9,7,2,0
237,44.0,1,0,2,13.0,2,0,1,2,12,7,1,0
238,8.0,0,2,3,8.75,3,0,0,2,9,7,1,1
239,19.0,0,0,1,10.5,1,0,1,2,12,7,1,0
240,33.0,0,0,1,12.275,1,0,1,2,12,7,1,0
241,24.4,1,0,2,7.227,2,0,0,0,9,7,2,0
242,24.4,1,0,2,7.75,2,0,0,1,9,7,2,1
243,29.0,0,0,1,10.5,1,0,1,2,12,7,1,0
244,22.0,0,0,1,7.125,1,0,1,2,12,7,2,0
245,30.0,0,0,1,7.225,1,0,1,0,12,7,2,0
246,44.0,2,0,3,30.0,3,78,1,1,4,2,0,0
247,25.0,0,0,1,7.775,1,0,0,2,9,7,2,0
248,24.0,0,2,2,7.25,3,0,0,2,13,7,1,1
249,37.0,1,1,2,26.277,3,35,1,2,12,3,0,1
250,54.0,1,0,2,13.0,2,0,1,2,15,7,1,0
251,33.2,0,0,1,7.25,1,0,1,2,12,7,2,0
252,29.0,1,1,2,5.231,3,6,0,2,13,6,2,0
253,62.0,0,0,1,26.55,1,87,1,2,12,2,0,0
254,30.0,1,0,2,8.05,2,0,1,2,12,7,2,0
255,41.0,0,2,3,6.738,3,0,0,2,13,7,2,0
256,29.0,0,2,3,5.082,3,0,0,0,13,7,2,1
257,35.2,0,0,2,39.6,1,0,0,0,13,7,0,1
258,30.0,0,0,3,28.833,1,77,0,2,9,1,0,1
259,35.0,0,0,4,128.082,1,0,0,0,9,7,0,1
260,50.0,0,1,2,13.0,2,0,0,2,13,7,1,1
261,33.2,0,0,1,7.75,1,0,1,1,12,7,2,0
262,3.0,4,2,7,4.484,7,0,1,2,8,7,2,1
263,52.0,1,1,3,26.55,3,67,1,2,12,4,0,0
264,40.0,0,0,1,0.0,1,94,1,2,12,1,0,0
265,27.0,0,0,1,7.75,1,0,0,1,9,7,2,0
266,36.0,0,0,1,10.5,1,0,1,2,12,7,1,0
267,16.0,4,1,7,5.67,6,0,1,2,12,7,2,0
268,25.0,1,0,1,7.775,2,0,1,2,12,7,2,1
269,58.0,0,1,3,51.154,2,125,0,2,13,2,0,1
270,35.0,0,0,4,33.908,1,99,0,2,9,2,0,1
271,33.2,0,0,2,15.5,1,0,1,2,12,7,0,0
272,25.0,0,0,4,0.0,1,0,1,2,12,7,2,1
273,41.0,0,1,2,9.75,2,0,0,2,13,7,1,1
274,37.0,0,1,1,29.7,2,118,1,0,12,2,0,0
275,27.0,0,0,1,7.75,1,0,0,1,9,7,2,1
276,63.0,1,0,3,25.986,2,7,0,2,9,3,0,1
277,45.0,0,0,1,7.75,1,0,0,2,9,7,2,0
278,33.2,0,0,3,0.0,1,0,1,2,12,7,1,0
279,7.0,4,1,6,4.854,6,0,1,1,8,7,2,0
280,35.0,1,1,3,6.75,3,0,0,2,13,7,2,1
281,65.0,0,0,1,7.75,1,0,1,1,12,7,2,0
282,28.0,0,0,1,7.854,1,0,1,2,12,7,2,0
283,16.0,0,0,1,9.5,1,0,1,2,12,7,2,0
284,19.0,0,0,1,8.05,1,0,1,2,12,7,2,1
285,33.2,0,0,1,26.0,1,19,1,2,12,0,0,0
286,33.0,0,0,1,8.662,1,0,1,0,12,7,2,0
287,30.0,0,0,1,9.5,1,0,1,2,12,7,2,1
288,22.0,0,0,1,7.896,1,0,1,2,12,7,2,0
289,42.0,0,0,1,13.0,1,0,1,2,12,7,1,1
290,22.0,0,0,1,7.75,1,0,0,1,9,7,2,1
291,26.0,0,0,3,26.283,1,0,0,2,9,7,0,1
292,19.0,1,0,2,45.54,2,49,0,0,13,1,0,1
293,36.0,0,0,1,12.875,1,0,1,0,12,7,1,0
294,24.0,0,0,1,8.85,1,0,0,2,9,7,2,0
295,24.0,0,0,1,7.896,1,0,1,2,12,7,2,0
296,33.2,0,0,1,27.721,1,0,1,0,12,7,0,0
297,23.5,0,0,1,7.229,1,0,1,0,12,7,2,0
